neighborhood,score
Central Business District,175
South Side Flats,102
North Shore,83
North Oakland,76
Central Oakland,68
Shadyside,67
Strip District,66
Bloomfield,66
Squirrel Hill South,62
Central Lawrenceville,55
East Liberty,35
Squirrel Hill North,32
Carrick,32
Lower Lawrenceville,29
Mount Washington,24
Chateau,23
Brookline,23
South Shore,22
East Allegheny,22
Central Northside,20
Bluff,19
Lincoln-Lemington-Belmar,16
Larimer,16
Crawford-Roberts,15
Upper Lawrenceville,15
Greenfield,15
Allegheny West,15
Beechview,13
Garfield,10
Marshall-Shadeland,9
Allegheny Center,9
Troy Hill,9
Banksville,8
Highland Park,8
Hazelwood,8
Allentown,8
Middle Hill,8
Homewood South,8
Point Breeze,7
Oakwood,7
West Oakland,6
Lincoln Place,5
Westwood,4
Morningside,4
Arlington,4
South Side Slopes,4
Homewood West,4
Polish Hill,4
Brighton Heights,4
West End,4
Crafton Heights,3
East Hills,3
Spring Garden,3
Elliott,3
Friendship,3
Homewood North,3
Point Breeze North,3
Overbrook,3
Regent Square,2
Perry South,2
Perry North,2
Duquesne Heights,2
Manchester,2
Terrace Village,2
Mt. Oliver,1
California-Kirkbride,1
Sheraden,1
Knoxville,1
South Oakland,1
