Neighborhood,Edu. Attainment: Bachelor's Degree (2010),Edu. Attainment: Postgraduate Degree (2010),Median_Income,Poverty_Rate,Higher_Edu_Rate,Edu_norm,Income_norm,Poverty_norm,Edu_Income_Index
South Shore,0.0,0.476190476190476,163772.5,0.0,0.476190476190476,0.7132515168229449,1.0,1.0,0.904417172274315
Regent Square,0.21012101210121,0.44004400440044,84635.23000000001,0.010928961748634,0.65016501650165,0.9738354868305358,0.5167853577371049,0.989071038251366,0.8265639609396689
Squirrel Hill North,0.266795553407443,0.400837763815048,91408.8533333333,0.088467088467088,0.667633317222491,1.0,0.558145313366611,0.911532911532912,0.8232260749665077
Point Breeze,0.25913928736696,0.325080981027302,95704.18000000001,0.045509394931908,0.584220268394262,0.8750615844409225,0.5843727121464227,0.954490605068092,0.8046416338851458
Strip District,0.334085778781038,0.18510158013544,70706.12000000001,0.021321961620469,0.519187358916478,0.7776534596512013,0.4317337770382696,0.978678038379531,0.7293550916896674
Highland Park,0.239238246379687,0.317992461813132,66985.405,0.091565909761132,0.557230708192819,0.8346358604615893,0.40901497504159734,0.908434090238868,0.7173616419140183
Squirrel Hill South,0.273502738619018,0.320193948100925,59375.9333333333,0.117138578818405,0.593696686719943,0.8892556309050881,0.3625513033832499,0.882861421181595,0.7115561184899777
North Shore,0.056122448979592,0.285714285714286,90088.5,0.0,0.341836734693878,0.5120126960050434,0.5500831946755408,1.0,0.6873652968935281
Allegheny West,0.447698744769874,0.104602510460251,45519.490000000005,0.05020920502092,0.552301255230125,0.8272523868758167,0.2779434276206323,0.94979079497908,0.6849955364918431
Shadyside,0.3234316982607,0.297830760211061,49393.132000000005,0.193065348549829,0.621262458471761,0.9305444207852845,0.30159600665557407,0.806934651450171,0.6796916929636764
Swisshelm Park,0.262162162162162,0.118018018018018,79025.0,0.021367521367521,0.38018018018017996,0.5694445893770212,0.4825291181364393,0.978632478632479,0.6768687287153132
Friendship,0.305224564619615,0.293308890925756,24096.63,0.209273182957393,0.598533455545371,0.8965002795777307,0.14713477537437605,0.7907268170426069,0.6114539573315713
Stanton Heights,0.218895348837209,0.13546511627907,53353.865000000005,0.042497831743278,0.354360465116279,0.5307710924171677,0.3257803660565724,0.957502168256722,0.6046845422434873
North Oakland,0.274098360655738,0.299344262295082,54503.99666666671,0.391766791412251,0.57344262295082,0.8589185233242613,0.3328031059345538,0.608233208587749,0.5999849459488548
Greenfield,0.223080886141164,0.172591447707367,47501.655000000006,0.092239185750636,0.395672333848531,0.5926491737929129,0.2900465890183029,0.9077608142493641,0.5968188590201933
Point Breeze North,0.282608695652174,0.214285714285714,38194.69,0.200363196125908,0.496894409937888,0.744262452336986,0.23321797004991682,0.799636803874092,0.5923724087536649
Banksville,0.223125794155019,0.06581956797967,55181.25000000001,0.058273381294964,0.288945362134689,0.4327905074251965,0.33693843594009987,0.941726618705036,0.5704851873567774
New Homestead,0.130010834236186,0.029252437703142,90652.03000000001,0.084558823529412,0.15926327193932802,0.2385490175983129,0.5535241264559069,0.915441176470588,0.5691714401749359
Westwood,0.132475083056478,0.146594684385382,54365.93000000001,0.05776397515528,0.27906976744186,0.4179985633473997,0.33196006655574045,0.94223602484472,0.5640648849159534
Duquesne Heights,0.220455749867515,0.133015368309486,48134.4,0.142672413793103,0.353471118177001,0.5294390035049817,0.29391014975041596,0.857327586206897,0.5602255798207648
South Side Flats,0.275688719083048,0.135531872109391,44215.305,0.205459130692776,0.411220591192439,0.6159377918753542,0.26998003327787023,0.794540869307224,0.5601528981534828
West End,0.267441860465116,0.0,44962.5,0.0,0.267441860465116,0.4005819565412583,0.27454242928452577,1.0,0.5583747952752613
Morningside,0.215367965367965,0.081168831168831,45224.100000000006,0.052417164584465,0.296536796536796,0.4441611718397423,0.2761397670549085,0.947582835415535,0.5559612581033954
Bloomfield,0.240743516714136,0.135062209563784,33604.482,0.19375543951262,0.37580572627791997,0.5628924090267974,0.20519001663893513,0.80624456048738,0.5247756620510375
Ridgemont,0.153153153153153,0.024774774774775,61312.50000000001,0.083870967741936,0.177927927927928,0.2665054654074924,0.3743760399334443,0.916129032258064,0.5190035125330003
Brookline,0.162094064949608,0.05963045912654,49803.4625,0.11706102117061,0.221724524076148,0.3321052415397322,0.30410149750415977,0.88293897882939,0.5063819059577607
Perry North,0.166937845753336,0.0624796615685,50411.955,0.145331149075591,0.22941750732183602,0.3436280086743812,0.30781697171381034,0.854668850924409,0.5020379437708669
South Side Slopes,0.215674720094284,0.082203889216264,41358.96000000001,0.197706519430877,0.297878609310548,0.4461709768317014,0.2525391014975042,0.802293480569123,0.5003345196327762
Mount Washington,0.168252595155709,0.097462514417532,47219.345,0.202395964691047,0.265715109573241,0.3979955803863674,0.28832279534109817,0.797604035308953,0.49464080367880614
Central Business District,0.160887656033287,0.186777623670828,40847.75,0.287733887733888,0.347665279704115,0.5207428550008303,0.24941763727121463,0.712266112266112,0.494142201512719
Central Northside,0.251779359430605,0.086298932384342,35973.815,0.245750708215297,0.338078291814947,0.5063831943280346,0.21965723793677205,0.754249291784703,0.4934299080165032
Chartiers City,0.106060606060606,0.06969696969697,43736.25,0.052631578947368,0.175757575757576,0.26325465075465104,0.2670549084858569,0.947368421052632,0.49255932676437997
Polish Hill,0.182644628099174,0.043801652892562,33759.48,0.073941134242642,0.226446280991736,0.3391776221321682,0.20613643926788688,0.926058865757358,0.4904576423858044
Lincoln Place,0.11433046202036,0.035238841033673,44894.920000000006,0.035993303571429,0.149569303054033,0.22402911777422355,0.2741297836938436,0.964006696428571,0.4873885326322127
Brighton Heights,0.180096480257281,0.073789530105414,43266.8233333333,0.212765957446808,0.253886010362695,0.38027762218176814,0.2641885745978922,0.787234042553192,0.4772334131109508
Summer Hill,0.138624338624339,0.00952380952381,42547.060000000005,0.07914262159934,0.148148148148149,0.2219004719004731,0.25979367720465896,0.92085737840066,0.46751717583526403
Oakwood,0.06282722513089,0.121727748691099,37436.05,0.123869801084991,0.184554973821989,0.2764316415330804,0.22858569051580702,0.876130198915009,0.4603825103212988
Overbrook,0.112204007285974,0.028779599271403,46045.96000000001,0.116644823066841,0.14098360655737702,0.2111692195708588,0.2811580698835275,0.883355176933159,0.45856082212918176
Windgap,0.063329928498468,0.03779366700715,44670.380000000005,0.054013503375844,0.101123595505618,0.1514657715500412,0.2727587354409318,0.945986496624156,0.45673700120504296
Beechview,0.136058338130877,0.062176165803109,39895.635,0.183355704697987,0.198234503933986,0.29692122729687515,0.24360399334442598,0.816644295302013,0.4523898386477714
Bon Air,0.092307692307692,0.039160839160839,40818.32,0.109617373319545,0.131468531468531,0.19691727191727113,0.2492379367720466,0.890382626680455,0.44551261178992424
Upper Hill,0.1270207852194,0.11008468052348,34880.0,0.234018899388549,0.23710546574288,0.35514324948505205,0.2129783693843594,0.765981100611451,0.4447009064936209
Carrick,0.101116217990808,0.043729481286934,40943.30666666671,0.148155246765692,0.144845699277742,0.21695397090177226,0.2500011092623408,0.851844753234308,0.4395999444661403
Troy Hill,0.126543209876543,0.054526748971193,40392.130000000005,0.222985872470409,0.181069958847736,0.2712116878783535,0.2466356073211315,0.777014127529591,0.43162047424302535
Central Lawrenceville,0.161737764982989,0.039256739073541,34679.44,0.219469414602061,0.20099450405653,0.3010552332719308,0.21175374376039935,0.780530585397939,0.43111318747675637
East Allegheny,0.135835095137421,0.062367864693446,30707.480000000003,0.221855670103093,0.198202959830867,0.2968739796501426,0.18750083194675543,0.778144329896907,0.42083971383126834
Crafton Heights,0.094470889783962,0.006590992310509,42823.920000000006,0.16419077404222,0.10106188209447099,0.15137333546341245,0.26148419301164727,0.8358092259577801,0.41622225147761327
West Oakland,0.200772200772201,0.171814671814672,22848.58,0.466174661746618,0.372586872586873,0.5580711192438996,0.13951414309484195,0.533825338253382,0.4104702001973745
East Carnegie,0.0,0.053921568627451,44417.5,0.125490196078431,0.053921568627451,0.08076524528730411,0.27121464226289516,0.874509803921569,0.4088298971572561
Spring Garden,0.056221198156682,0.014746543778802,41875.62,0.138360175695461,0.070967741935484,0.10629748412006491,0.25569384359401,0.861639824304539,0.4078770506728713
Manchester,0.069201520912548,0.060836501901141,35335.62,0.189071566731141,0.130038022813689,0.1947746157346929,0.2157603993344426,0.810928433268859,0.4071544827793315
East Liberty,0.165469348659004,0.09985632183908,25024.22,0.330780511650644,0.265325670498084,0.39741226756312903,0.15279866888519136,0.6692194883493561,0.4064768082658922
Hazelwood,0.083623693379791,0.073867595818815,33863.030000000006,0.259431651151396,0.157491289198606,0.23589489190534438,0.2067687188019967,0.740568348848604,0.39441065318531504
Beltzhoover,0.08327246165084,0.04236669101534,36917.21,0.234753146176186,0.12563915266618,0.18818586404415516,0.22541763727121464,0.765246853823814,0.39295011837972793
South Oakland,0.138439915671117,0.11243851018974,28696.43,0.377387318563789,0.250878425860857,0.375772777345159,0.17522129783693843,0.622612681436211,0.3912022522061028
Lower Lawrenceville,0.172955974842767,0.09643605870021,24318.99,0.386799693016117,0.269392033542977,0.4035029807435468,0.14849251247920134,0.613200306983883,0.388398600068877
Elliott,0.094530722484808,0.006752194463201,28385.780000000002,0.19620811287478,0.10128291694800899,0.15170440769698157,0.173324459234609,0.80379188712522,0.3762735846856035
Upper Lawrenceville,0.0944,0.017066666666667,34639.11,0.256574271499645,0.11146666666666699,0.1669579150579155,0.21150748752079868,0.7434257285003549,0.3739637103596897
Knoxville,0.110970996216898,0.033207229928541,30403.370000000003,0.286293387382822,0.14417822614543901,0.21595421083125957,0.18564392678868555,0.713706612617178,0.3717682500790411
Marshall-Shadeland,0.082328726845046,0.034695677741841,35542.72,0.282492184010719,0.117024404586887,0.17528245156148825,0.21702495840266223,0.7175078159892809,0.36993840865114375
Arlington,0.071428571428571,0.025162337662338,27379.710000000003,0.20292299044407,0.09659090909090899,0.14467658608283587,0.1671813643926789,0.79707700955593,0.36964498667714824
Fairywood,0.163090128755365,0.0,37537.420000000006,0.375,0.163090128755365,0.24428099159858835,0.2292046589018303,0.625,0.3661618835001395
Sheraden,0.06705298013245,0.038355408388521,33859.76,0.26646275638719,0.105408388520971,0.15788365529673426,0.2067487520798669,0.73353724361281,0.3660565503298037
Allegheny Center,0.157635467980296,0.037766830870279,22792.99,0.339622641509434,0.19540229885057503,0.29267907069631244,0.1391747088186356,0.660377358490566,0.36407704600183804
Larimer,0.063070539419087,0.020746887966805,29064.305000000004,0.215673575129534,0.083817427385892,0.12554410516028752,0.17746755407653914,0.784326424870466,0.3624460280357642
Middle Hill,0.067092651757188,0.059904153354633,25023.13,0.264325323475046,0.126996805111821,0.19021939414311598,0.15279201331114808,0.735674676524954,0.3595620279930727
Lincoln-Lemington-Belmar,0.085260614428719,0.036244390749051,32225.1233333333,0.304330065359477,0.12150500517777,0.18199362141371095,0.1967676095396559,0.6956699346405231,0.35814372186462995
Perry South,0.124045801526718,0.033206106870229,32478.185,0.37042842215256,0.157251908396947,0.23553634059359307,0.19831281198003328,0.62957157784744,0.35447357680702213
Spring Hill-City View,0.098947368421053,0.048421052631579,23843.75,0.337344720496894,0.147368421052632,0.22073257467994367,0.14559068219633944,0.662655279503106,0.34299284545979636
Allentown,0.056101792943898,0.015037593984962,31908.660000000003,0.284810126582278,0.07113938692886,0.10655457882901397,0.1948352745424293,0.715189873417722,0.33885990892972173
Bedford Dwellings,0.141882673942701,0.147339699863574,10891.28,0.489609310058188,0.289222373806275,0.43320542331456285,0.06650249584026623,0.510390689941812,0.336699536365547
Hays,0.065671641791045,0.0,32517.97,0.295412844036697,0.065671641791045,0.0983648360514035,0.19855574043261232,0.704587155963303,0.33383591081577296
Mt. Oliver,0.0,0.059154929577465,41970.450000000004,0.364130434782609,0.059154929577465,0.08860392082223097,0.25627287853577374,0.635869565217391,0.32691545485846524
Homewood South,0.078724788549122,0.031880286271958,22006.555,0.319299905392621,0.11060507482108001,0.16566739850734638,0.13437271214642263,0.680700094607379,0.326913401753716
Fineview,0.036511156186613,0.035496957403651,32310.870000000003,0.334275618374558,0.07200811359026399,0.10785578210781091,0.1972911813643927,0.665724381625442,0.3236237816992152
Central Oakland,0.148837209302326,0.185116279069767,18221.530000000002,0.647808586762075,0.333953488372093,0.5002049474723891,0.11126123128119803,0.352191413237925,0.321219197330504
Garfield,0.100247524752475,0.059405940594059,22820.966666666704,0.444551128180509,0.15965346534653402,0.2391334602813553,0.13934553521907952,0.555448871819491,0.31130928910664196
Crawford-Roberts,0.13719512195122,0.067835365853658,16275.880000000001,0.482421875,0.20503048780487798,0.3071004434857329,0.09938103161397671,0.517578125,0.3080198666999032
East Hills,0.113577023498695,0.011096605744125,23607.22,0.414605873261206,0.12467362924282,0.18673967584705198,0.14414642262895175,0.585394126738794,0.3054267417382659
Homewood West,0.075657894736842,0.009868421052632,15721.070000000002,0.368191721132898,0.08552631578947399,0.1281037263767531,0.09599334442595675,0.631808278867102,0.28530178322327066
Glen Hazel,0.093189964157706,0.0,13987.970000000001,0.380228136882129,0.093189964157706,0.13958255490513535,0.08541098169717139,0.619771863117871,0.2815884665733926
St. Clair,0.046121593291405,0.0,30851.36,0.43890977443609,0.046121593291405,0.06908222238410973,0.1883793677204659,0.56109022556391,0.27285060522282856
California-Kirkbride,0.163461538461538,0.0,28722.590000000004,0.62719298245614,0.163461538461538,0.24483729952479874,0.17538103161397672,0.37280701754386003,0.26434178289421184
Terrace Village,0.040204678362573,0.078947368421053,11833.585000000001,0.462276493676406,0.11915204678362601,0.17846929401205752,0.07225623960066556,0.537723506323594,0.262816346645439
Homewood North,0.08848715509039,0.007136060894386,23062.22,0.556862745098039,0.095623215984776,0.1432271480737221,0.14081863560732114,0.443137254901961,0.24239434619433475
Arlington Heights,0.078313253012048,0.0,10264.53,0.57679180887372,0.078313253012048,0.11729979764618285,0.06267554076539102,0.42320819112628005,0.20106117651261798
Esplen,0.0,0.063218390804598,14843.62,0.606870229007634,0.063218390804598,0.09469028757821903,0.09063560732113145,0.393129770992366,0.19281855529723882
Northview Heights,0.0,0.0,14096.970000000001,0.580779944289694,0.0,0.0,0.08607653910149751,0.41922005571030596,0.16843219827060116
Bluff,0.026111503175723,0.05045871559633,13946.550000000001,0.802197802197802,0.076570218772053,0.11468903183352626,0.08515806988352746,0.197802197802198,0.13254976650641723
Chateau,,,0.0,1.0,,,0.0,0.0,
